,1,2,3,4,5,correlation
credit card,0.0130407265127,0.00659462072299,0.00297289262452,0.00136820669467,0.000975943004929,-1.0
zero stars,0.0102441824524,0.000207160860408,0.000108105186346,3.18187603411e-05,0.0,-1.0
new room,0.00891950368702,0.00728515692435,0.00308099781087,0.00141593483518,0.000634362953204,-1.0
multiple times,0.00646148864456,0.00483375340952,0.00227020891327,0.00179775995927,0.00179329527156,-1.0
horrible experience,0.00518096583801,0.000794116631564,0.000216210372693,0.000127275041364,0.000109793588054,-1.0
bed bugs,0.00516624718506,0.00155370645306,0.000405394448799,0.000206821942217,8.53950129312e-05,-1.0
poor customer service,0.00507793526736,0.00255498394503,0.000594578524905,0.000238640702558,0.0,-1.0
different room,0.004606938373,0.00400510996789,0.00151347260885,0.000620465826651,0.000329380764163,-1.0
long line,0.00366494458427,0.00365984186721,0.00248641928597,0.00219549446354,0.000866149416874,-1.0
phone calls,0.00363550727837,0.00214066222422,0.000891867787357,0.000397734504264,0.000317181476602,-1.0
people line,0.00362078862543,0.00210613541415,0.000918894083944,0.000429553264605,0.000195188600986,-1.0
horrible customer service,0.00359135131953,0.000483375340952,8.10788897597e-05,1.59093801705e-05,1.21992875616e-05,-1.0
dont care,0.00348832074889,0.00186444774367,0.000918894083944,0.000509100165458,0.000341580051725,-1.0
bad service,0.00344416479004,0.00227876946449,0.000729710007838,0.000365915743923,0.000280583613917,-1.0
security guard,0.00288485597798,0.0017263405034,0.000702683711251,0.000477281405116,0.000341580051725,-1.0
good luck,0.00279654406029,0.00220971584435,0.00137834112592,0.000970472190403,0.000426975064656,-1.0
terrible service,0.00278182540734,0.000552428961088,0.000135131482933,6.36375206822e-05,2.43985751232e-05,-1.0
bad customer service,0.00275238810144,0.00107033111211,0.000297289262452,6.36375206822e-05,4.87971502464e-05,-1.0
open door,0.00254632696016,0.00214066222422,0.00113510445664,0.000700012727504,0.000292782901479,-1.0
fine print,0.00250217100131,0.000897697061768,0.000702683711251,0.000334096983582,0.000134192163178,-1.0
corporate office,0.00228139120708,0.000379794910748,0.000135131482933,6.36375206822e-05,3.65978626848e-05,-1.0
extra charges,0.00223723524823,0.00107033111211,0.000486473338558,0.000429553264605,0.000402576489533,-1.0
hotel manager,0.00217836063643,0.000828643441632,0.000351341855626,0.000175003181876,0.000121992875616,-1.0
didnt care,0.00211948602464,0.00148465283292,0.000918894083944,0.000636375206822,0.000231786463671,-1.0
line hour,0.0019870181481,0.0008631702517,0.000351341855626,0.000159093801705,0.000109793588054,-1.0
debit card,0.00197229949515,0.00113938473224,0.000621604821491,0.000334096983582,0.000231786463671,-1.0
fly airline,0.00194286218925,0.000310741290612,8.10788897597e-05,6.36375206822e-05,2.43985751232e-05,-1.0
check room,0.0019281435363,0.0017263405034,0.000891867787357,0.000525009545628,0.000439174352218,-1.0
new keys,0.0019281435363,0.00134654559265,0.000756736304424,0.000222731322388,0.000121992875616,-1.0
gon na,0.00186926892451,0.00145012602286,0.00108105186346,0.000890925289551,0.000585565802957,-1.0
different people,0.00186926892451,0.00158823326313,0.000594578524905,0.00028636884307,0.000207387888547,-1.0
wrong room,0.00181039431271,0.00169181369333,0.000891867787357,0.000445462644775,0.000158590738301,-1.0
cell phone,0.00173680104797,0.00148465283292,0.000729710007838,0.000525009545628,0.000439174352218,-1.0
extra fees,0.00172208239502,0.00107033111211,0.000621604821491,0.00028636884307,0.000280583613917,-1.0
hour drive,0.00170736374207,0.00141559921279,0.000621604821491,0.000477281405116,0.000414775777095,-1.0
business days,0.00167792643617,0.000759589821496,0.000297289262452,0.000175003181876,0.000121992875616,-1.0
refund money,0.00161905182438,0.000138107240272,8.10788897597e-05,3.18187603411e-05,2.43985751232e-05,-1.0
hour flight,0.00158961451848,0.000966750681904,0.000567552228318,0.00028636884307,0.000256185038794,-1.0
